"Internal - All"
"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.sofarsounds.com/","text/html; charset=utf-8","200","OK","Indexable","","Secret gigs and intimate concerts | Sofar Sounds","48","390","Gigs in intimate spaces around the world. Sofar Sounds is a global movement which brings the magic back to live music. Sign up today to host, play or attend. ","158","921","","0","Get closer","10","Explore Sofar Artists","21","Intimate gigs all around the world.","35","What is a Sofar show?","21","","","https://www.sofarsounds.com/","","","152753","1412","6.407603","0","","906","449","100.0","424","400","6","6","247ff61ef61b95c8e9a1da2d43590d0e","0.68","","","","https://www.sofarsounds.com/"
"https://www.sofarsounds.com/bangalore","text/html; charset=utf-8","200","OK","Indexable","","Bangalore Music Gigs | Sofar Sounds India","41","344","Be part of a growing community of live music lovers in Bangalore India. Sofar Sounds welcomes artists from around the world to appreciate their favourite bands ","160","928","","0","Intimate gigs in Bangalore","26","","0","Upcoming Sofar events in Bangalore","34","Featured performances","21","","","https://www.sofarsounds.com/bangalore","","","152878","1250","5.8111763","1","","453","428","95.32","419","397","11","9","3ac1395725474c5006704fe8b374defe","0.872","","","","https://www.sofarsounds.com/bangalore"
"https://www.sofarsounds.com/harrogate","text/html; charset=utf-8","200","OK","Indexable","","Live Music Harrogate | Sofar Sounds","35","294","Watch exciting live music acts performing for Sofar Sounds Harrogate.  Join our music movement with a gig in Harrogate, United Kingdom
","135","800","","0","Intimate gigs in Harrogate","26","","0","Upcoming Sofar events in Harrogate","34","Featured performances","21","","","https://www.sofarsounds.com/harrogate","","","152398","1253","5.853044","1","","455","428","95.32","420","399","11","9","bb7acf7054cc2439e207d8d51c2e0683","0.871","","","","https://www.sofarsounds.com/harrogate"
"https://www.sofarsounds.com/bogota","text/html; charset=utf-8","200","OK","Indexable","","Live Music Bogotá | Sofar Sounds","32","271","Watch exciting live music acts performing for Sofar Sounds Bogotá.  Join our music movement with a gig in Bogotá, Colombia
","123","732","","0","Intimate gigs in Bogotá","23","","0","Upcoming Sofar events in Bogotá","31","Recent Performances","19","","","https://www.sofarsounds.com/bogota","","","148906","1232","5.8789144","1","","450","428","95.32","416","395","11","9","d3540023367434bac8209618aded7de","0.875","","","","https://www.sofarsounds.com/bogota"
"https://www.sofarsounds.com/blog","text/html; charset=utf-8","200","OK","Indexable","","Blog | Sofar Sounds","19","160","Intimate secret gigs in 431 cities, all around the world. Are we in yours? Sofar Sounds is all about music. Only the finest, freshest, and most cutting edge talent, curated by our global community.","197","1125","","0","Liner Notes","11","Who Wowed Us Last Month? Hear Our Top Picks","43","Explore Sofar.","14","","0","","","https://www.sofarsounds.com/blog","","","154257","2743","11.264498","1","","453","449","100.0","444","417","20","18","554b892809c170649913ffb24a7c5b62","0.876","","","","https://www.sofarsounds.com/blog"
"https://www.sofarsounds.com/curitiba","text/html; charset=utf-8","200","OK","Indexable","","Live music Curitiba | Sofar Sounds Brazil","41","326","Sofar Sounds is a global music movement which has become very popular in Brazil. Join our community in Curitiba for a selection of secret living room gigs.","155","908","","0","Intimate gigs in Curitiba","25","","0","Upcoming Sofar events in Curitiba","33","Featured performances","21","","","https://www.sofarsounds.com/curitiba","","","152189","1267","5.8965826","1","","433","428","95.32","419","396","12","10","e0493957a9593e55802e8c6b36a47cb3","0.869","","","","https://www.sofarsounds.com/curitiba"
"https://www.sofarsounds.com/debrecen","text/html; charset=utf-8","200","OK","Indexable","","Live Music Debrecen | Sofar Sounds","34","292","Watch exciting live music acts performing for Sofar Sounds Debrecen.  Join our music movement with a gig in Debrecen, Hungary
","126","754","","0","Intimate gigs in Debrecen","25","","0","Upcoming Sofar events in Debrecen","33","Recent Performances","19","","","https://www.sofarsounds.com/debrecen","","","149638","1242","5.9077206","1","","442","428","95.32","416","395","10","8","6f3e47b15ec8daed8b9e421466546669","0.863","","","","https://www.sofarsounds.com/debrecen"
"https://www.sofarsounds.com/salvador","text/html; charset=utf-8","200","OK","Indexable","","Gigs in Salvador | Sofar Sounds","31","256","Some of our exciting acts in Salvador include Toco y Me Voy, Confraria Giramundo, and Tabuleiro Musiquim. Sign up to Sofar Sounds today to get your invite. ","156","920","","0","Intimate gigs in Salvador","25","","0","Upcoming Sofar events in Salvador","33","Recent Performances","19","","","https://www.sofarsounds.com/salvador","","","150542","1238","5.8434954","1","","438","428","95.32","416","395","12","10","58570c087d534c82cf6f73d10d4d5fdb","0.828","","","","https://www.sofarsounds.com/salvador"
"https://www.sofarsounds.com/rosario","text/html; charset=utf-8","200","OK","Indexable","","Live Music Rosario | Sofar Sounds","33","276","Watch exciting live music acts performing for Sofar Sounds Rosario.  Join our music movement with a gig in Rosario, Argentina
","126","739","","0","Intimate gigs in Rosario","24","","0","Upcoming Sofar events in Rosario","32","Recent Performances","19","","","https://www.sofarsounds.com/rosario","","","148381","1251","5.966436","1","","433","428","95.32","415","395","11","9","c6d16d4ec9d1d79d894400071650021a","0.842","","","","https://www.sofarsounds.com/rosario"
"https://www.sofarsounds.com/kampala","text/html; charset=utf-8","200","OK","Indexable","","Live Music Kampala | Sofar Sounds","33","285","Watch exciting live music acts performing for Sofar Sounds Kampala.  Join our music movement with a gig in Kampala, Uganda
","123","742","","0","Intimate gigs in Kampala","24","","0","Upcoming Sofar events in Kampala","32","Recent Performances","19","","","https://www.sofarsounds.com/kampala","","","149398","1235","5.862145","1","","439","428","95.32","416","395","11","9","95fad76c1b30451ff98272658328e5b9","0.802","","","","https://www.sofarsounds.com/kampala"
"https://www.sofarsounds.com/singapore","text/html; charset=utf-8","200","OK","Indexable","","Live Music Singapore | Sofar Sounds","35","296","Watch exciting live music acts performing for Sofar Sounds Singapore.  Join our music movement with a gig in Singapore, Singapore
","130","770","","0","Intimate gigs in Singapore","26","","0","Upcoming Sofar events in Singapore","34","Recent Performances","19","","","https://www.sofarsounds.com/singapore","","","149859","1238","5.8728104","1","","438","428","95.32","416","395","10","8","b2eb961f3afaae74cd70f3c8068f93e5","0.793","","","","https://www.sofarsounds.com/singapore"
"https://www.sofarsounds.com/sacramento","text/html; charset=utf-8","200","OK","Indexable","","Live Music Sacramento | Sofar Sounds","36","311","Watch exciting live music acts performing for Sofar Sounds Sacramento.  Join our music movement with a gig in Sacramento, United States
","136","815","","0","Intimate gigs in Sacramento","27","","0","Upcoming Sofar events in Sacramento","35","Recent Performances","19","","","https://www.sofarsounds.com/sacramento","","","175435","1314","5.3059597","1","","438","428","95.32","422","401","11","9","9c2e4e0376630d5116188d851ec8c274","0.392","","","","https://www.sofarsounds.com/sacramento"
"https://www.sofarsounds.com/liverpool","text/html; charset=utf-8","200","OK","Indexable","","Gigs in Liverpool | Live Music | Sofar Sounds","45","358","Sign up to Sofar Sounds today to apply for our secret gigs in Liverpool. This UK port city has a renowned music history and we’re excited to be a part of it. ","158","895","","0","Intimate gigs in Liverpool","26","","0","Upcoming Sofar events in Liverpool","34","Featured performances","21","","","https://www.sofarsounds.com/liverpool","","","157098","1271","5.7392864","1","","437","428","95.32","423","402","11","10","c0fb2752246fd9032713e915cdd793c4","0.655","","","","https://www.sofarsounds.com/liverpool"
"https://www.sofarsounds.com/indianapolis","text/html; charset=utf-8","200","OK","Indexable","","Live Music Indianapolis | Sofar Sounds","38","310","Watch exciting live music acts performing for Sofar Sounds Indianapolis.  Join our music movement with a gig in Indianapolis, United States
","140","813","","0","Be still and listen in Indianapolis","35","","0","Upcoming Sofar events in Indianapolis","37","Recent Performances","19","","","https://www.sofarsounds.com/indianapolis","","","151359","1240","5.8569636","1","","438","428","95.32","416","395","11","9","fba1073f68320261389e0278d066099","0.627","","","","https://www.sofarsounds.com/indianapolis"
"https://www.sofarsounds.com/wroclaw","text/html; charset=utf-8","200","OK","Indexable","","Live Music Wroclaw | Sofar Sounds","33","283","Watch exciting live music acts performing for Sofar Sounds Wroclaw.  Join our music movement with a gig in Wroclaw, Poland
","123","734","","0","Intimate gigs in Wroclaw","24","","0","Upcoming Sofar events in Wroclaw","32","Featured performances","21","","","https://www.sofarsounds.com/wroclaw","","","153352","1251","5.7931685","1","","439","428","95.32","422","401","11","10","140b5633834513995d46b97769934c3e","0.672","","","","https://www.sofarsounds.com/wroclaw"
"https://www.sofarsounds.com/faq","text/html; charset=utf-8","200","OK","Indexable","","FAQ | Sofar Sounds","18","161","Intimate secret gigs in 431 cities, all around the world. Are we in yours? Sofar Sounds is all about music. Only the finest, freshest, and most cutting edge talent, curated by our global community.","197","1125","","0","Frequently Asked Questions","26","","0","Explore Sofar.","14","","0","","","https://www.sofarsounds.com/faq","","","157732","1107","5.0675163","1","","454","449","100.0","401","388","5","5","5122d11e5ecdcf0e2b24979eb8298698","0.665","","","","https://www.sofarsounds.com/faq"
"https://www.sofarsounds.com/exeter","text/html; charset=utf-8","200","OK","Indexable","","Live Music Exeter | Sofar Sounds","32","266","Watch exciting live music acts performing for Sofar Sounds Exeter.  Join our music movement with a gig in Exeter, United Kingdom
","129","764","","0","Intimate gigs in Exeter","23","","0","Upcoming Sofar events in Exeter","31","Want to get involved?","21","","","https://www.sofarsounds.com/exeter","","","144499","1226","6.0041265","1","","433","428","95.32","409","389","10","8","2343338e4a04f2ebcbfa42f8261d13c5","0.7","","","","https://www.sofarsounds.com/exeter"
"https://www.sofarsounds.com/kochi","text/html; charset=utf-8","200","OK","Indexable","","Live Music Kochi | Sofar Sounds","31","259","Watch exciting live music acts performing for Sofar Sounds Kochi.  Join our music movement with a gig in Kochi, India
","118","690","","0","Intimate gigs in Kochi","22","","0","Upcoming Sofar events in Kochi","30","Want to get involved?","21","","","https://www.sofarsounds.com/kochi","","","144338","1226","6.0101333","1","","433","428","95.32","409","389","10","8","51afac4a510fb55d3cdd61242c3395ce","1.088","","","","https://www.sofarsounds.com/kochi"
"https://www.sofarsounds.com/chico","text/html; charset=utf-8","200","OK","Indexable","","Live Music Chico | Sofar Sounds","31","260","Watch exciting live music acts performing for Sofar Sounds Chico.  Join our music movement with a gig in Chico, United States
","126","741","","0","Intimate gigs in Chico","22","","0","Upcoming Sofar events in Chico","30","Want to get involved?","21","","","https://www.sofarsounds.com/chico","","","145013","1229","5.9905066","1","","433","428","95.32","409","389","11","9","312b04fb94c512edf62509597fcbfd35","0.718","","","","https://www.sofarsounds.com/chico"
"https://www.sofarsounds.com/san-francisco","text/html; charset=utf-8","200","OK","Indexable","","Gigs in San Francisco, Bay Area Events | Sofar Sounds","53","444","San Francisco has a rich music culture and we are making music history by organizing unforgettable pop up gigs in intimate spaces. Be a part of our movement. 
","160","930","","0","Secret Shows in San Francisco","29","","0","Upcoming Sofar events in San Francisco","38","Featured performances","21","","","https://www.sofarsounds.com/san-francisco","","","184295","1536","5.698917","1","","439","428","95.32","443","420","11","9","96b23367161536bf6583cdb4acf37","0.585","","","","https://www.sofarsounds.com/san-francisco"
"https://www.sofarsounds.com/las-vegas","text/html; charset=utf-8","200","OK","Indexable","","Gigs in Las Vegas | Sofar Sounds USA","36","312","Discover something different in Sin City. Sofar Sounds curates intimate music experiences with secret gigs in Las Vegas, often in a living room. Sign up today","158","919","","0","Intimate gigs in Las Vegas","26","","0","Upcoming Sofar events in Las Vegas","34","Featured performances","21","","","https://www.sofarsounds.com/las-vegas","","","157044","1284","5.734671","1","","437","428","95.32","423","397","11","9","6ad969a1052f8c61dc9ff98b0b1b3779","0.8","","","","https://www.sofarsounds.com/las-vegas"
